id,start_date,motion:title,motion:number,motion:id,legislative_session:id,result,counts:option:yes,counts:option:no,counts:option:abstain,counts:number_of_people,counts:present
18268,28.11.2002,k výborům Zastupitelstva hlavního města Prahy (F),1.2,71,1,fail,14,28,20,70,62
18269,28.11.2002,k výborům Zastupitelstva hlavního města Prahy (F),1.2,71,1,fail,17,41,10,70,68
18270,28.11.2002,k výborům Zastupitelstva hlavního města Prahy (F),1.2,71,1,fail,27,18,24,70,69
18271,28.11.2002,k výborům Zastupitelstva hlavního města Prahy (F),1.2,71,1,fail,20,36,11,70,67
18272,28.11.2002,k výborům Zastupitelstva hlavního města Prahy (F),1.2,71,1,fail,15,35,17,70,67
18273,28.11.2002,k výborům Zastupitelstva hlavního města Prahy (F),1.2,71,1,fail,22,7,38,70,67
18274,28.11.2002,k výborům Zastupitelstva hlavního města Prahy (F),1.2,71,1,pass,62,0,7,70,69
18275,28.11.2002,k návrhu na stanovení počtu dlouhodobě uvolněných členů Zastupitelstva hl.m. Prahy (F),1.3,85,1,fail,21,31,16,70,68
18276,28.11.2002,k návrhu na stanovení počtu dlouhodobě uvolněných členů Zastupitelstva hl.m. Prahy (F),1.3,85,1,pass,48,17,2,70,67
18277,28.11.2002,k podepisování doložky podle § 43 zákona o hlavním městě Praze (F),1.4,72,1,pass,62,1,1,70,64
18278,28.11.2002,souhrnné usnesení z jednání ustavujícího zasedání ZHMP ze dne 28.11.2002 (F),1.1,70,1,pass,56,1,10,70,67
18279,12.12.2002,k volbě přísedících Městského soudu v Praze (F),2.1,82,2,pass,60,0,0,70,60
18280,12.12.2002,k návrhu na složení výborů ZHMP (F),2.2,76,2,fail,29,16,18,70,63
18281,12.12.2002,k návrhu na složení výborů ZHMP (F),2.2,76,2,fail,27,24,13,70,64
18282,12.12.2002,k návrhu na složení výborů ZHMP (F),2.2,76,2,fail,27,29,11,70,67
18283,12.12.2002,k návrhu na složení výborů ZHMP (F),2.2,76,2,fail,22,25,19,70,66
18284,12.12.2002,k návrhu na složení výborů ZHMP (F),2.2,76,2,fail,23,29,13,70,65
18285,12.12.2002,k návrhu na složení výborů ZHMP (F),2.2,76,2,fail,23,21,21,70,65
18286,12.12.2002,k návrhu na složení výborů ZHMP (F),2.2,76,2,fail,28,21,17,70,66
18287,12.12.2002,k návrhu na složení výborů ZHMP (F),2.2,76,2,fail,24,18,23,70,65
18288,12.12.2002,k návrhu na složení výborů ZHMP (F),2.2,76,2,fail,23,19,24,70,66
18289,12.12.2002,k návrhu na složení výborů ZHMP (F),2.2,76,2,fail,26,14,24,70,64
18290,12.12.2002,k návrhu na složení výborů ZHMP (F),2.2,76,2,pass,51,3,11,70,65
18291,12.12.2002,k návrhu na stanovení paušální hodinové částky pro poskytnutí náhrady ušlého výdělku v souvislosti s (F),2.3,89,2,pass,47,0,4,70,51
18292,12.12.2002,k odměnám neuvolněných členů Zastupitelstva hl. m. Prahy (F),2.4,88,2,pass,55,0,1,70,56
18293,12.12.2002,ke Zprávě o plnění rozpočtu hl. m. Prahy za 1. - 3. čtvrtletí 2002 a k úpravám rozpočtu vlastního hl (F),2.5,44,2,fail,19,25,18,70,62
18294,12.12.2002,ke Zprávě o plnění rozpočtu hl. m. Prahy za 1. - 3. čtvrtletí 2002 a k úpravám rozpočtu vlastního hl (F),2.5,44,2,pass,51,1,12,70,64
18295,12.12.2002,ke Zprávě o plnění rozpočtu hl. m. Prahy za 1. - 3. čtvrtletí 2002 a k úpravám rozpočtu vlastního hl (F),2.5,44,2,pass,43,1,19,70,63
