"id","legislative_session:number","motion:title","number","result","start_date","start_time"
"27zmh_2014/h001","27","01. Schválení pøedsednictva 27. zasedání ZMH","1","SCHVÁLENO","22.9.2014","13:07:04"
"27zmh_2014/h004","27","02. Schválení programu 27. zasedání ZMH","4","SCHVÁLENO","22.9.2014","13:12:10"
"27zmh_2014/h005","27","03. Urèení ovìøovatelù zápisu o prùbìhu 27. ZMH","5","SCHVÁLENO","22.9.2014","13:13:33"
"27zmh_2014/h006","27","04. Ovìøení zápisu z 26. zasedání ZMH","6","SCHVÁLENO","22.9.2014","13:15:06"
"27zmh_2014/h007","27","05. Kontrola plnìní usnesení ZMH","7","SCHVÁLENO","22.9.2014","13:16:01"
"27zmh_2014/h008","27","06. Èerpání Fondu pro zvıšení bezpeènosti","8","SCHVÁLENO","22.9.2014","13:16:40"
"27zmh_2014/h009","27","07. Zámìr prodeje pozemkù pod stavbami garáí","9","SCHVÁLENO","22.9.2014","13:17:15"
"27zmh_2014/h010","27","08. Zámìr pøevodu pozemkù Moravskoslezskému kraji","10","SCHVÁLENO","22.9.2014","13:17:53"
"27zmh_2014/h011","27","09. Zámìr prodeje pozemkù spoleènosti Kulig","11","SCHVÁLENO","22.9.2014","13:18:29"
"27zmh_2014/h012","27","10. Zámìr prodeje èásti pozemku parc.è. 4079/1","12","SCHVÁLENO","22.9.2014","13:19:05"
"27zmh_2014/h013","27","11. Zámìr prodeje pozemku parc.è. 2054/2","13","SCHVÁLENO","22.9.2014","13:19:43"
"27zmh_2014/h014","27","12. Zámìr prodeje èásti pozemku parc.è. 2219","14","SCHVÁLENO","22.9.2014","13:26:28"
"27zmh_2014/h015","27","13. Zámìr prodeje pozemku parc.è. 586/5","15","SCHVÁLENO","22.9.2014","13:27:11"
"27zmh_2014/h016","27","15. Zámìr pøevodu èásti pozemku parc.è. 4365","16","SCHVÁLENO","22.9.2014","13:27:52"
"27zmh_2014/h017","27","16. Prodej èásti pozemku parc.è. 1327","17","SCHVÁLENO","22.9.2014","13:28:30"
"27zmh_2014/h018","27","17. Prodej pozemku pod stavbou garáe","18","SCHVÁLENO","22.9.2014","13:29:02"
"27zmh_2014/h019","27","18. Prodej pozemku parc.è. 1406/1","19","SCHVÁLENO","22.9.2014","13:29:37"
"27zmh_2014/h021","27","20. Smìna èástí pozemkù parc.è. 1327","21","SCHVÁLENO","22.9.2014","13:31:47"
"27zmh_2014/h022","27","21. Smìna pozemkù k.ú. Dolní Suchá v rámci stavby","22","SCHVÁLENO","22.9.2014","13:32:32"
"27zmh_2014/h023","27","22. Zrušení zámìru prodeje nemovité vìci","23","SCHVÁLENO","22.9.2014","13:33:20"
"27zmh_2014/h024","27","23. Zámìr prodeje nemovitıch vìcí","24","SCHVÁLENO","22.9.2014","13:33:59"
"27zmh_2014/h025","27","24. Nabídka na odkoupení nemovitıch vìcí od spol.","25","SCHVÁLENO","22.9.2014","13:34:49"
"27zmh_2014/h026","27","25. Nabídka na odkoupení pozemkù od spol. ÈEZ","26","SCHVÁLENO","22.9.2014","13:35:27"
"27zmh_2014/h027","27","26. Nabídka na odkoupení pozemkù","27","SCHVÁLENO","22.9.2014","13:36:07"
"27zmh_2014/h028","27","27. Pøevod pozemkù parc.è. 1203/1, parc.è. 1213/3","28","SCHVÁLENO","22.9.2014","13:37:01"
"27zmh_2014/h029","27","28. Pøijetí daru èástí pozemku parc.è. 2604/1","29","SCHVÁLENO","22.9.2014","13:37:33"
"27zmh_2014/h030","27","29. Smluvní vztahy pro úèely stavby &quot;1. etapa","30","SCHVÁLENO","22.9.2014","13:38:11"
"27zmh_2014/h031","27","30. Vıkup pozemku v k.ú. Prostøední Suchá","31","SCHVÁLENO","22.9.2014","13:38:44"
"27zmh_2014/h033","27","31. Vıkupy pozemkù v k. ú. Bludovice, lokalita U","33","SCHVÁLENO","22.9.2014","13:44:02"
"27zmh_2014/h034","27","32. Zøízení pozemkové sluebnosti k pozemkùm","34","SCHVÁLENO","22.9.2014","13:44:38"
"27zmh_2014/h035","27","33. Vypoøádání dokonèenıch stok v rámci stavby","35","SCHVÁLENO","22.9.2014","13:45:18"
"27zmh_2014/h036","27","34. Zánik sluebnosti provozování veøejného zácho","36","SCHVÁLENO","22.9.2014","13:46:00"
"27zmh_2014/h037","27","35. Splátkovı kalendáø ve prospìch MUDr. Valenty","37","SCHVÁLENO","22.9.2014","13:46:38"
"27zmh_2014/h038","27","36. Smlouva o spolupráci mezi statutárním mìstem","38","SCHVÁLENO","22.9.2014","13:47:25"
"27zmh_2014/h039","27","37. Majetkové vypoøádání se Svazkem mìst a obcí","39","SCHVÁLENO","22.9.2014","13:48:07"
"27zmh_2014/h040","27","38. Vynìtí majetku z hospodaøení pøíspìvkovıch","40","SCHVÁLENO","22.9.2014","13:48:46"
"27zmh_2014/h041","27","39. Pøedání dlouhodobého majetku k hospodaøení","41","SCHVÁLENO","22.9.2014","13:49:29"
"27zmh_2014/h044","27","40. Vyjádøení k návrhu èlena ZMH Mgr. Jiøího Jekl","44","SCHVÁLENO","22.9.2014","14:42:35"
"27zmh_2014/h045","27","41. Rozdìlení vıtìku z Reprezentaèního plesu mìs","45","SCHVÁLENO","22.9.2014","14:43:18"
"27zmh_2014/h046","27","42. Zmìna pouití schválené jmenovité investièní","46","SCHVÁLENO","22.9.2014","14:44:02"
"27zmh_2014/h047","27","43. Budoucí financování Ozdravnıch pobytù ákù ZŠ","47","SCHVÁLENO","22.9.2014","14:44:39"
"27zmh_2014/h048","27","44. Financování projektù základních škol","48","SCHVÁLENO","22.9.2014","14:45:09"
"27zmh_2014/h050","27","45. ádost Nemocnice s poliklinikou Havíøov","50","SCHVÁLENO","22.9.2014","14:48:33"
"27zmh_2014/h051","27","46. Návrh na úpravu a doplnìní èerpání Fondu veøe","51","SCHVÁLENO","22.9.2014","14:49:51"
"27zmh_2014/h052","27","47. Návrh na zvıšení dotace na èinnost Sportovníh","52","SCHVÁLENO","22.9.2014","14:56:01"
"27zmh_2014/h053","27","48. Rozpis závazného ukazatele vıdajù rozpoètu","53","SCHVÁLENO","22.9.2014","14:56:47"
"27zmh_2014/h054","27","49. Navıšení finanèních prostøedkù vıdajové èásti","54","SCHVÁLENO","22.9.2014","15:05:21"
"27zmh_2014/h055","27","50. Informativní zpráva o skuteèném stavu podanıc","55","SCHVÁLENO","22.9.2014","15:06:41"
"27zmh_2014/h056","27","51. Rozpoètovı vıhled mìsta Havíøova na léta 2015","56","SCHVÁLENO","22.9.2014","15:12:20"
"27zmh_2014/h057","27","52. Plnìní rozpoètu mìsta Havíøova a hospodáøsk","57","SCHVÁLENO","22.9.2014","15:13:22"
