id,legislative_session:number,start_date,item:number,motion:title,
1001,1,2010-12-15,,ZMě schvaluje Program 2. zasedání ZMě v Horním Benešově včetně jeho změn.,
1002,1,2010-12-15,,ZMě bere na vědomí Kontrolu zápisu z 1. zasedání ZMě.,
1003,1,2010-12-15,,ZMě bere na vědomí Zprávu o činnosti RMě za období od 6.11.2010.,
1004,1,2010-12-15,,ZMě neschvaluje Záměr prodeje nemovitosti č.p. 343 na pozemku p.č. 335/1 a odprodej pozemků p.č. 335/1 a 322/2 v k.ú. Horní Benešov.,
1005,1,2010-12-15,,"ZMě schvaluje Prodej pozemku p.č. 496 druh pozemku ostatní plocha, jiná plocha o výměře 172 m2 v k.ú. Horní Benešov manželům XXX, trvale bytem XXX, XXXX za cenu určenou znaleckým posudkem, tj. 4567,- Kč, kupní cena je splatná při podpisu kupní smlouvy, náklady spojené s převodem hradí kupující, daň z převodu hradí město.",
1006,1,2010-12-15,,"ZMě schvaluje Úplatné zřízení věcného břemene pro část pozemku p.č. 501/1 v k.ú. Horní Benešov dle GP č. 627-563/2010 spočívajícího v právu chůze a jízdy pro vlastníka pozemků p.č. 496, p.č. 495 a p.č. 494 a pověřuje starostu podpisem smlouvy.",
1007,1,2010-12-15,,ZMě schvaluje Navýšení poskytnuté neinvestiční dotace z rozpočtu města Horní Benešov vyčleněné na podporu zájmové a sportovní činnosti v roce 2010,
1008,1,2010-12-15,,"ZMě schvaluje Rozpočtové opatření dle důvodové zprávy, kterým se zvyšují běžné výdaje na paragrafu 3419 Ostatní tělovýchovná činnost o 115 000,- Kč a snižují běžné výdaje na paragrafu 3639 Komunální služby o 115 000,- Kč.",
1009,1,2010-12-15,,"ZMě schvaluje Prodej pozemku p.č. 477/2 druh pozemku ostatní plocha, jiná plocha o výměře 3 m2 v k.ú. Horní Benešov manželům XXX, bytem Horní Benešov, XXX za dohodnutou kupní cenu 137,- Kč, kupní cena je splatná při podpisu kupní smlouvy, náklady spojené s převodem hradí kupující, daň z převodu hradí město.",
1010,1,2010-12-15,,ZMě schvaluje Zveřejnění záměru prodat pozemek p.č. 226/1 druh pozemku zahrada o výměře 157 m2 v k.ú. Horní Benešov.,
1011,1,2010-12-15,,"ZMě ukládá Starostovi svolat mimořádné pracovní zastupitelstvo, kde by se projednala změna Jednacího řádu Zastupitelstva města.",
1012,1,2010-12-15,,,
1013,1,2010-12-15,,"ZMě bere na vědomí  Stížnost „Zpochybnění volby členů rady města Horní Benešov“ ev.č. 5840/2010 ze dne 8.11.2010 s tím, že tato je neopodstatněná, při volbě všech členů Rady města Horní Benešov bylo postupováno dle Metodického doporučení k činnosti územních samosprávných celků MVCR. č.j. MV-62465-4/ODK-2010, zpracováno k 20. červenci 2010 a dle platného Jednacího řádu ZMě.",
1014,1,2010-12-15,,"ZMě bere na vědomí  Stížnost „Stížnost na průběh volby členů Rady města na 1. ustavujícím Zastupitelstvu města ze dne 6.11.2010“ ev.č. 6047/2010 ze dne 18.11.2010 s tím, že tato je neopodstatněná, při volbě všech členů Rady města Horní Benešov bylo postupováno dle Metodického doporučení k činnosti územních samosprávných celků MVCR. č.j. MV-62465-4/ODK-2010, zpracováno k 20. červenci 2010 a dle platného Jednacího řádu ZMě.",
1015,1,2010-12-15,,"ZMě volí Za členy kontrolního výboru: s účinností od 1.1.2011 Ing. Jiří Uvíra, Ing. Alena Ledabylová.",
1016,1,2010-12-15,,"ZMě volí Za členy finančního výboru s účinností od 1.1.2011 p. Jana Valasová, p. Jana Jadrníčková",
1017,1,2010-12-15,,,
1018,1,2010-12-15,,,
1019,1,2010-12-15,,ZMě pověřuje Radu města ke schvalování rozpočtových opatření ve volebním období 2010-2014.,
1020,1,2010-12-15,,"ZMě schvaluje Rozpočtové opatření dle důvodové zprávy, kterým se zvyšují běžné příjmy na položce 4122 Neinv.přij.transfery od krajů o 46 400,- Kč a zvyšují běžné výdaje na paragrafu 5512Požární ochrana – dobrovolná část o 46 400,- Kč.",
1021,1,2010-12-15,,"ZMě schvaluje Rozpočtové opatření dle důvodové zprávy, kterým se zvyšují běžné příjmy na položce 4111 Neinv.přij.transfery z všeob.pokl.správy SR o 5 607,- Kč a zvyšují běžné výdaje na paragrafu 6149 Ostatní všeobecná vnitřní správa j.n. o 5 607,- Kč.",
1022,1,2010-12-15,,"ZMě schvaluje Rozpočtové opatření dle důvodové zprávy, kterým se zvyšují běžné příjmy na položce 4116 Ost.neinv.přij.transfery ze stát.rozpočtu o 741 589,20 Kč a zvyšují běžné výdaje na paragrafu 3113 Základní škola o 741 589,20 Kč.",
1023,1,2010-12-15,,,
1024,1,2010-12-15,,"ZMě schvaluje Rozpočet Města Horní Benešov na rok 2011 ve výši 47 875 320,- Kč. ",
1025,1,2010-12-15,,"ZMě vydává Obecně závaznou vyhlášku 2/2010 o místním poplatku za provoz systému shromažďování, sběru, přepravy, třídění, využívání a odstraňování komunálních odpadů.",
