"id","legislative_session:number","motion:title","start_date","start_time"
"454140",1,"Zkouška hlasování","2014-11-06","09:25:55"
"454142",1,"Návrh p. primátora doplnit program o bod č. 10a - Zastupování SMFM v Dobrovolném svazku obcí Olešná","2014-11-06","09:30:53"
"454143",1,"4. Schválení programu ustavujícího zasedání ZM F-M pro v. o. 2014-2018 včetně doplnění","2014-11-06","09:31:16"
"454144",1,"Informace o výsledcích voleb do Zastupitelstva města F-M pro v. o. 2014-2018","2014-11-06","09:31:56"
"454145",1,"Složení slibu zvolenými členy Zastupitelstva města F-M na v. o.  2014-2018","2014-11-06","09:33:31"
"454146",1,"5. Schválení postupu jednání ZM dle Jednacího řádu ZMFM vč. přílohy č. l volebního řádu","2014-11-06","09:34:32"
"454147",1,"Návrh na tříčlenné složení volební komise a volba aklamací","2014-11-06","09:35:13"
"454148",1,"Návrh na předsedu volební komise - Ing. Jaroslav Chýlek, MBA","2014-11-06","09:36:04"
"454149",1,"Návrh na členy volební komise - Ing.Řehová, p. Marenčok","2014-11-06","09:36:53"
"454150",1,"Návrh na ověřovatele zápisu - p. Čubová, Ing. Bártek","2014-11-06","09:38:10"
"454151",1,"7. Stanovení počtu dlouhodobě uvolněných členů ZMFM a počtu členů Rady města F-M pro v. o. 2014-2018","2014-11-06","09:39:48"
"454152",1,"Návrh, aby všechny volby na zasedání probíhaly veřejně (aklamací)","2014-11-06","09:42:30"
"454153",1,"Návrh na primátora SMFM - Ing. Radim Vrbata (ANO 2011)","2014-11-06","09:43:22"
"454154",1,"Návrh na náměstka primátora - p. Karel Deutscher","2014-11-06","09:49:41"
"454155",1,"Návrh na náměstka primátora - Bc. Petr Gaj","2014-11-06","09:50:36"
"454156",1,"Návrh na náměstka primátora - Bc. Pavel Machala","2014-11-06","09:51:59"
"454157",1,"Návrh na náměstka primátora - Mgr. Michal Pobucký, DiS.","2014-11-06","09:53:29"
"454158",1,"Návrh na dlouhodobě uvolněného člena RM - Bc. Jakub Míček","2014-11-06","09:55:22"
"454159",1,"Návrh na člena RM - PaedDr. Jaromír Horký","2014-11-06","09:59:45"
"454160",1,"Návrh na člena RM - RNDr. Boleslav Otipka","2014-11-06","10:01:13"
"454161",1,"Návrh na člena RM - Ing. Eva Richtrová","2014-11-06","10:02:26"
"454162",1,"Návrh na člena RM - p. Milan Valach","2014-11-06","10:03:08"
"454163",1,"Návrh na člena RM - p. Jiří Zaoral","2014-11-06","10:04:11"
"454164",1,"10. Svěření úseků činnosti města v samostatné působnosti dlouhodobě uvol. členům  ZM, členům RM ...","2014-11-06","10:08:17"
"454165",1,"10a Zastupování SMFM v Dobrovolném svazku obcí Olešná","2014-11-06","10:11:01"
"454166",1,"Návrh na zřízení finančního výboru  ZM v počtu 11 členů","2014-11-06","10:45:33"
"454167",1,"Návrh na člena FV - MUDr. Michal Brückner","2014-11-06","10:50:15"
"454168",1,"Návrh na člena FV - JUDr. Miroslav Dokoupil","2014-11-06","10:51:05"
"454169",1,"Návrh na člena FV - Ing. Patrik Herák","2014-11-06","10:51:53"
"454170",1,"Návrh na člena FV - Ing. Jiří Kajzar","2014-11-06","10:52:42"
"454171",1,"Návrh na člena FV - Ing. Dalibor Kališ","2014-11-06","10:53:29"
"454172",1,"Návrh na člena FV - p. Libor Koval","2014-11-06","10:54:13"
"454173",1,"Návrh na člena FV - p. Vladimír Kubský","2014-11-06","10:54:59"
"454174",1,"Návrh na člena FV - Ing. Pavel Sabela","2014-11-06","10:55:47"
"454175",1,"Návrh na člena FV - Ing. Silvie Schäferová","2014-11-06","10:56:38"
"454176",1,"Návrh na člena FV - Ing. Adéla Řehová","2014-11-06","10:57:52"
"454177",1,"Návrh na člena FV - PhDr. Tomáš Benedikt Zbranek","2014-11-06","10:58:41"
"454178",1,"Návrh na zřízení kontrolního výboru  ZM v počtu 11 členů","2014-11-06","11:00:55"
"454179",1,"Návrh na předsedu KV - Mgr. Ivan Vrba","2014-11-06","11:04:26"
"454180",1,"Návrh na člena KV - Mgr. Jiří Fiala","2014-11-06","11:08:38"
"454181",1,"Návrh na člena KV - Mgr. Radovan Hořínek","2014-11-06","11:09:20"
"454182",1,"Návrh na člena KV - Mgr. Stanislav Hrabovský","2014-11-06","11:10:03"
"454183",1,"Návrh na člena KV - p. Jaroslav Ryška","2014-11-06","11:10:44"
"454184",1,"Návrh na člena KV - p. Petr Skotnica","2014-11-06","11:11:24"
"454185",1,"Návrh na člena KV - p. Miroslav Slezák","2014-11-06","11:12:04"
"454186",1,"Návrh na člena KV - Mgr. Oldřich Staněk","2014-11-06","11:12:44"
"454187",1,"Návrh na člena KV - p. Milan Valach","2014-11-06","11:13:25"
"454188",1,"Návrh na člena KV - p. Jiří Zaoral","2014-11-06","11:14:06"
"454189",1,"Návrh na člena KV - Ing. Richard Žabka","2014-11-06","11:14:45"
"454190",1,"13a) Vznik klubů členů Zastupitelstva města Frýdku-Místku","2014-11-06","11:18:54"
"454191",1,"13b) Stanovení termínu příštího (2.) zasedání Zastupitelstva města Frýdku-Místku - 15.12.2014","2014-11-06","11:20:05"
"454193",2,"Návrh p. Šimoňáka zařadit do programu - 9b povolební jednání a vzájemné chování pol. subjektů","2014-12-15","08:12:14"
"454194",2,"Návrh p. Kajzara zařadit do programu - 9c informace o městských společnostech","2014-12-15","08:13:00"
"454195",2,"Návrh p. Kajzara zařadit do programu - 9d nález ústavního soudu","2014-12-15","08:13:43"
"454196",2,"Návrh p. Kajzara zařadit do programu - 9e diskuse k ukončení hazardu","2014-12-15","08:14:20"
"454197",2,"Návrh p. primátora doplnit program o dodatky 1 a 2 k mat. 2a, pozm. návrh 2 k mat. 2f, dodatek č. 1 k mat. 2e","2014-12-15","08:15:01"
"454198",2,"Návrh celého programu vč. doplnění","2014-12-15","08:16:04"
"454199",2,"Hlasování o ověřovatelích zápisu - p. Deutscher, p. Gaj","2014-12-15","08:17:34"
"454200",2,"Návrh na tříčlenné složení volební komise a způsob všech voleb aklamací","2014-12-15","08:20:16"
